ID,Disease Domain,News Title,News Snippet,Source Domain,Label
DM199,Diabetes & Global Health,World population in 2007 estimated at 6.6 billion,"The IDF Diabetes Atlas estimated total world population at 6.6 billion in 2007, projected to reach 7.9 billion by 2025 .",jmust.org,Real
DM200,Diabetes & Global Health,"IGT affected 308 million in 2007, projected to reach 418 million by 2025","Impaired glucose tolerance was estimated to affect 308 million people in 2007 (7.5% comparative prevalence), projected to reach 418 million by 2025 .",jmust.org,Real
DM201,Diabetes & Complications,HIF-1? plays a crucial role in diabetic retinopathy and AMD,Akrit Sodhi's research focuses on identifying novel biomarkers and potential treatments for diabetic retinopathy and age-related macular degeneration .,hopkinsmedicine.org,Real
DM202,Diabetes & Retinopathy,Hormonal changes with insulin therapy can initially worsen retinopathy,"The lower blood sugar produced by aggressive treatment with insulin results in transient episodes of hypoglycemia, to which the retina responds by increasing HIF-1? and promoting blood vessel growth and leakage .",hopkinsmedicine.org,Real
DM203,Diabetes & Research,HIF-1? inhibitors being developed as potential drugs for cancer and eye disease,Sodhi and his mentor Gregg Semenza have co-founded a company to develop HIF-1? inhibitors as potential new drugs for treatment of eye disease and cancer .,hopkinsmedicine.org,Real
DM204,Diabetes & Complications,Machine learning diagnosis of autonomic neuropathy in diabetes,"ML can diagnose autonomic neuropathy in addition to peripheral neuropathy, diabetic retinopathy, nephropathy, and foot ulcers .",nih.gov,Real
DM205,Diabetes & Complications,ML predicts outcomes in hospitalized patients with diabetes,"Machine learning can predict outcomes in hospitalized patients with diabetes, including unfavorable outcomes .",nih.gov,Real
DM206,Diabetes & Complications,ML uses CGM tracings and laboratory data for diagnosis,"Machine learning can draw inferences from CGM tracings, laboratory data, cardiovascular and neurological physiology measurements, and images .",nih.gov,Real
DM207,Diabetes & MASLD,Type 2 diabetes patients with MASLD have increased risk of progression to fibrosis,"T2D patients with MASLD have higher risk of progression to steatohepatitis, advanced fibrosis, and hepatocellular carcinoma compared to MASLD patients without T2D .",nih.gov,Real
DM208,Diabetes & MASLD,The risk of macrovascular complications is greater with concomitant MASLD,The risk of macrovascular complications of diabetes is greater among patients with concomitant MASLD .,nih.gov,Real
DM209,Diabetes & MASLD,Previous MASLD studies show geographic risk differences for retinopathy,"In a meta-analysis involving 7,170 patients, no association between MASLD and diabetic retinopathy was shown, but there were geographic risk differences .",nih.gov,Real
DM210,Diabetes & MASLD,Inconsistent results for diabetic neuropathy among MASLD patients,Studies have reported both higher and lower risk of diabetic neuropathy among patients with MASLD .,nih.gov,Real
DM211,Diabetes & Foot Ulcer,Advanced fibrosis linked to diabetic foot ulcers in hospitalized patients,Hospitalized patients with type 1 or type 2 diabetes with advanced fibrosis more commonly have previous diabetic foot ulcers .,nih.gov,Real
DM212,Diabetes & Foot Ulcer,Prevalent MASLD associated with diabetic foot ulcer recurrence,Prevalent MASLD is associated with diabetic foot ulcer recurrence .,nih.gov,Real
DM213,Diabetes & Remission,Diabetes UK says DiRECT could save NHS £1 billion,An economic analysis of the DiRECT weight management programme suggests it could save the NHS up to £1 billion if rolled out to everyone eligible .,diabetes.org.uk,Real
DM214,Diabetes & Remission,NHS Type 2 Diabetes Path to Remission Programme inspired by DiRECT,"NHS England launched its Type 2 Diabetes Path to Remission Programme in 2020, inspired by DiRECT, giving tens of thousands of people the chance to put their type 2 into remission .",diabetes.org.uk,Real
DM215,Diabetes & Remission,DiRECT cost-effectiveness analysis based on 5-year follow-up data,"A lifetime cost-effectiveness analysis was conducted using the 5-year data from DiRECT, including time to relapse from remission from type 2 diabetes, intervention costs, routine healthcare resource use, medications, and quality of life .",glasgow.ac.uk,Real
DM216,Diabetes & Remission,DiRECT assumes remission at 5 years would relapse after maximum 10 years,Modelling assumed that all those in remission at 5 years would relapse after a maximum of 10 years .,glasgow.ac.uk,Real
DM217,Diabetes & Remission,"Total discounted healthcare cost-savings over 5 years amount to £2,091 per participant","Total discounted healthcare cost-savings (excluding intervention costs) per participant over 5 years amounted to £2,091 .",glasgow.ac.uk,Real
DM218,Diabetes & Remission,Healthcare costs per annum ~£480 lower in the intervention arm,"On average, healthcare costs per annum were ~£480 per participant lower in the intervention arm (p < 0.05) .",glasgow.ac.uk,Real
DM219,Diabetes & Remission,Intervention arm modelled to achieve cost-savings and QALY gains over 5 years,The intervention arm was modelled to achieve both cost-savings of ~£400 and QALY gains of 0.043 over 5 years .,glasgow.ac.uk,Real
DM220,Diabetes & Remission,Further benefits due to reduced mortality in remission,Further benefits due to reduced mortality in remission are expected beyond the 5-year period .,glasgow.ac.uk,Real
DM221,Diabetes & Remission,"DiRECT uses one-to-one face-to-face contacts, which are increasingly adopted remotely","The intervention, even using one-to-one face-to-face contacts rather than remote delivery, which is increasingly adopted, generated both health gains and cost-savings .",glasgow.ac.uk,Real
DM222,Diabetes & Complications,ECM dysregulation affects multiple organs in diabetes,"Diabetic complications include cardiomyopathy, hepatic diseases, retinopathy, nephropathy, neuropathy, and foot ulcers which impose a substantial burden on global health .",springer.com,Real
DM223,Diabetes & Complications,ECM remodeling promotes fibrosis and vascular dysfunction in diabetes,"Chronic hyperglycemia and insulin resistance promote ECM remodeling through oxidative stress, inflammatory cytokines, and AGEs, leading to fibrosis, vascular dysfunction, and impaired tissue repair .",springer.com,Real
DM224,Diabetes & Retinopathy,Excessive ECM deposition thickens retinal basement membrane in diabetic retinopathy,"In diabetic retinopathy, excessive ECM deposition thickens the retinal basement, compromising retinal microvasculature integrity .",springer.com,Real
DM225,Diabetes & Nephropathy,ECM accumulation in glomerular basement membrane disrupts kidney filtration,"In diabetic nephropathy, ECM accumulation in the glomerular basement membrane disrupts kidney filtration, accelerating disease progression .",springer.com,Real
DM226,Diabetes & Complications,Dysregulated ECM plays a role in impaired wound healing in diabetic foot ulcers,The dysregulated ECM also plays a role in diabetic neuropathy and diabetic foot ulcer due to impaired wound healing .,springer.com,Real
DM227,Diabetes & Complications,TGF-?/SMAD signaling pathway contributes to ECM imbalances,"Molecular mechanisms including the TGF-?/SMAD signaling pathway, MMP inhibition, and epigenetic modifications contribute to ECM imbalances, exacerbating organ damage .",springer.com,Real
DM228,Diabetes & Complications,Understanding ECM dynamics offers novel insights into disease pathophysiology,Understanding ECM dynamics in diabetes offers novel insights into disease pathophysiology and potential intervention strategies aimed at preserving organ function and improving patient outcomes .,springer.com,Real
DM229,Diabetes & Global Health,Diabetic retinopathy affects 34.6% of diabetic patients globally,"160.198 million out of 468 million total reported diabetic patients, including middle-age to old-age, are affected by diabetic retinopathy .",springer.com,Real
DM230,Diabetes & Global Health,Diabetic retinopathy very common in Africans and Southeast Asians,"For Africans and Southeast Asians, the occurrence of diabetic retinopathy is very common .",springer.com,Real
DM231,Diabetes & Global Health,Diabetic retinopathy affects ~29% of people in the United States,Diabetic retinopathy affects ~29% of the people in the United States .,springer.com,Real
DM232,Diabetes & Global Health,Diabetic neuropathy affects ~25% of diabetic people in Europe and North America,Diabetic neuropathy affects nearly 25% of the diabetic people in Europe and North America .,springer.com,Real
DM233,Diabetes & Complications,Diabetic complications cause significant economic burden globally,"According to the IDF 2021 study, the projected cost for diabetes was $966 billion per year worldwide .",springer.com,Real
DM234,Diabetes & Complications,Indirect costs from diabetes complications estimated at $327 billion,Indirect expenses such as early deaths and productivity losses due to diabetic complications are estimated to be $327 billion .,springer.com,Real
DM235,Diabetes & Complications,US diabetes-related healthcare expenses reach ~$327 billion yearly,"In the United States, diabetes-related healthcare expenses reach ~$327 billion yearly, while complications contribute to ~60% of this figure .",springer.com,Real
DM236,Diabetes & Complications,US indirect costs from diabetes amount to $90 billion annually,"Indirect costs, including lost productivity and premature mortality, amount to $90 billion annually in the US .",springer.com,Real
DM237,Diabetes & Complications,"Per-patient healthcare expenditure for diabetes estimated at $13,700 per year","Per-patient healthcare expenditure is estimated at $13,700 per year, with ~$7,900 allocated for managing complications .",springer.com,Real
DM238,Diabetes & Complications,"A T2D patient without complications incurs average annual cost of $4,500","A type 2 diabetes patient without complications incurs an average annual cost of $4,500, which rises notably to $16,000 with cardiovascular complications .",springer.com,Real
DM239,Diabetes & Global Health,China's annual healthcare expenditures related to diabetes $109 billion,"In China, annual healthcare expenditures related to diabetes are estimated at $109 billion, with cardiovascular diseases and nephropathy being the primary drivers .",springer.com,Real
DM240,Diabetes & Global Health,India's economic burden of diabetes ~$70 billion per year,"In India, the economic burden (direct medical expenses, caregiving costs, and productivity losses) is ~$70 billion per year .",springer.com,Real
DM241,Diabetes & Global Health,"Per-patient healthcare cost for diabetes in China ~$1,000/year","On a per-patient basis, the average annual healthcare cost for diabetes in China is ~$1,000, but this may increase 5-fold if complications arise .",springer.com,Real
DM242,Diabetes & Complications,68% of diabetic patients die due to heart problems,68% of diabetic patients die due to heart problems while 16% went through stroke .,springer.com,Real
DM243,Diabetes & Complications,Diabetic cardiomyopathic complications affect >70% of diabetic patients,"Diabetic cardiomyopathic complications (e.g., high blood pressure) affect >70% of diabetic patients with increased death rate .",springer.com,Real
DM244,Diabetes & Foot Ulcer,15-25% of diabetic patients affected by foot ulcers,"Diabetic foot ulcers impact 15-25% of the patients, with amputations being common in Africa and Southeast Asia .",springer.com,Real
DM245,Diabetes & Foot Ulcer,~1% of diabetic patients in US and Europe undergo foot amputation,"In the USA and Europe, foot ulcers hospitalization rates remain significant, with ~1% of diabetic patients undergoing foot amputation .",springer.com,Real
DM246,Diabetes & Complications,Risk of complications increases with diabetes duration over 10 years,"The risk of complications increases with the duration, particularly after more than 10 years since diagnosis .",springer.com,Real
DM247,Diabetes & Complications,Family history of diabetes elevates likelihood of developing complications,A family history of diabetes also elevates the likelihood of developing complications .,springer.com,Real
DM248,Diabetes & Complications,Stress factors stimulate hormones that counteract insulin,"Stress factors stimulate the secretion of catecholamines (e.g., epinephrine), which counteracts the residual effects of insulin, promoting glucagon release .",springer.com,Real
DM249,Diabetes & Complications,Persistent metabolic imbalance results in chronic hyperglycemia,Insulin resistance impairs blood glycemic regulation which further accelerates diabetic complications progression; persistent metabolic imbalance results in chronic hyperglycemia .,springer.com,Real
DM250,Diabetes & Complications,Sustained inflammation damages glomeruli and peripheral nerves,"Sustained inflammation damages the glomeruli in the kidney and peripheral nerves, leading to diabetic nephropathy and neuropathy .",springer.com,Real
DM251,Diabetes & Complications,Key molecules involved in cell death in diabetic complications identified,"Key molecules such as HIF-1?, SP1, PEN1, ICAM-1, Nrf2, HO-1, NLRP3, caspase-1, and GPX4 are involved in cell death contributing to diabetic complications .",springer.com,Real
DM252,Diabetes & Complications,Necroptosis may be provoked by microenvironmental factors,"Necroptosis may be provoked by microenvironmental factors which stimulate death receptors such as pattern recognition receptors, Fas cell surface death receptor, TNF receptor, and Z-DNA binding protein 1 .",springer.com,Real
DM253,Diabetes & Complications,"RIPK3 is only engaged in necroptosis, not apoptosis","While RIPK1 is linked to both necroptosis and apoptosis, RIPK3 is only engaged in necroptosis .",springer.com,Real
DM254,Diabetes & Complications,Phospho-RIPK3 and phospho-MLKL antibodies detect necroptosis,Necroptosis can be detected by using the phospho-RIPK3 and phospho-MLKL antibodies .,springer.com,Real
DM255,Diabetes & Complications,Caspase-8 modulates necrosomes formation,Caspase-8 modulates necrosomes formation .,springer.com,Real
DM256,Diabetes & Complications,ECM accumulation in microvascular complications impairs oxygen and nutrient supply,"In microvascular complications including retinopathy and nephropathy, ECM accumulation thickens the basement membrane of small blood vessels, impairing oxygen and nutrient supply .",springer.com,Real
DM257,Diabetes & Complications,ECM remodeling in macrovascular complications promotes atherosclerosis,"In macrovascular complications like atherosclerosis, ECM remodeling impacts plaque formation and vascular stiffness, promoting inflammatory responses .",springer.com,Real
DM258,Diabetes & Complications,"Normal ECM maintains tissue integrity with balanced collagen, elastin, proteoglycan","Normal ECM maintains tissue integrity with balanced collagen, elastin, and proteoglycan, which may be remodeled by MMPs .",springer.com,Real
DM259,Diabetes & Complications,Excessive collagen IV and laminin accumulate in diabetic ECM,"In diabetes, excessive collagen IV and laminin accumulate, leading to abnormal cross-linking, increased stiffness, and reduced elasticity .",springer.com,Real
DM260,Diabetes & Global Health,Global diabetes prevalence in 2007 estimated at 6.0% comparative prevalence,"The IDF Diabetes Atlas estimated comparative prevalence of diabetes at 6.0% in 2007, projected to reach 7.3% by 2025 .",jmust.org,Real
DM261,Diabetes & Global Health,Adult population (20-79) estimated at 4.1 billion in 2007,"The IDF Diabetes Atlas estimated adult population aged 20-79 at 4.1 billion in 2007, projected to reach 5.2 billion by 2025 .",jmust.org,Real
DM262,Diabetes & Global Health,"IGT comparative prevalence 7.5% in 2007, projected 8.0% in 2025","Impaired glucose tolerance comparative prevalence was estimated at 7.5% in 2007, projected to reach 8.0% by 2025 .",jmust.org,Real
DM263,Diabetes & Global Health,2007 IDF Diabetes Atlas provided estimates for 215 countries,"Data are provided for 215 countries and territories, allocated into seven IDF regions .",jmust.org,Real
DM264,Diabetes & Global Health,"IDF regions include Africa, Eastern Mediterranean, Europe, North America, South/Central America, Southeast Asia, Western Pacific","The seven IDF regions are Africa, Eastern Mediterranean and Middle East, Europe, North America, South and Central America, South-East Asia, and the Western Pacific .",jmust.org,Real
DM265,Diabetes & Global Health,30 new studies used for the 2025 IDF estimates,"30 new studies, applied to 70 countries, have been used for the 2025 estimates .",jmust.org,Real
DM266,Diabetes & Global Health,The 2004 UN Population Prospects rather than 2000 used for country populations,"The 2004 edition of the United Nations Population Prospects, rather than the 2000 edition, was used for the population of each country .",jmust.org,Real
DM267,Diabetes & Global Health,Bangladesh population estimate reduced by nine million,The population estimate for Bangladesh has been reduced by nine million .,jmust.org,Real
DM268,Diabetes & Global Health,Ethiopia population estimate increased by seven million,The population estimate for Ethiopia has increased by seven million .,jmust.org,Real
DM269,Diabetes & Global Health,National prevalence ideal for assessing burden of diabetes in each country,The national or regional prevalence indicates the percentage of each country's or region's population that has diabetes .,jmust.org,Real
DM270,Diabetes & Global Health,National prevalence cannot be used for comparing countries with different age structures,"Because the prevalence of diabetes increases with age, national prevalence cannot be used for comparing prevalences between countries which have different age structures .",jmust.org,Real
DM271,Diabetes & Global Health,Comparative prevalence uses world population age profile for comparison,The comparative prevalence has been calculated by assuming that every country and region has the same age profile (the age profile of the world population has been used) .,jmust.org,Real
DM272,Diabetes & Global Health,Comparative prevalence ideal for making country comparisons,"Comparative prevalence removes the differences of age between countries and regions, making this figure ideal for making comparisons .",jmust.org,Real
DM273,Diabetes & Global Health,Samoans (7.5%) more prone to diabetes than Japanese (4.9%),Comparative prevalence shows that Samoans (7.5%) are in fact more prone to have diabetes than are Japanese (4.9%) .,jmust.org,Real
DM274,Diabetes & Global Health,Comparative prevalence should not be used for assessing proportion within a country,The comparative prevalence should not be used for assessing the proportion of people within a country or region who have diabetes .,jmust.org,Real
DM275,Diabetes & MASLD,No significant differences in microvascular complications between MASLD and non-MASLD groups,"There were no significant differences regarding the prevalence of microvascular complications between participants with non-MASLD, isolated steatosis, and advanced fibrosis .",springer.com,Real
DM276,Diabetes & MASLD,CAP differed between participants with and without microvascular complications,CAP differed significantly (p=0.046) between participants with any microvascular complication (287±61) and those without (272±64) .,springer.com,Real
DM277,Diabetes & MASLD,Participants with microvascular complications had significantly higher fibrosis stage,"Participants with any microvascular complications had significantly higher fibrosis stage (median 2.0) compared to no complications (median 0.5, p=0.008) .",springer.com,Real
DM278,Diabetes & MASLD,Biopsy-confirmed fibrosis stage associated with microvascular complications,"Fibrosis grade according to liver biopsy was associated with prevalent microvascular complications, both in the crude model and after adjusting for sex and age (aOR 3.68, 95% CI 1.12-12.06) .",springer.com,Real
DM279,Diabetes & MASLD,VIF values indicate no problematic multicollinearity in regression analyses,"VIF values ranged from 1.003 to 1.360, indicating no evidence of problematic multicollinearity in the regression analyses .",springer.com,Real
DM280,Diabetes & MASLD,"This is the first study using MRI-PDFF for retinopathy, neuropathy, foot ulcers","This was one of the first studies using MRI-PDFF for diagnosing MASLD and exploring the association with microvascular complications. This has not been done previously for retinopathy, neuropathy and diabetic foot ulcers .",springer.com,Real
DM281,Diabetes & MASLD,The connection between MASLD and microvascular complications may be non-existent for mild MASLD,"The connection between MASLD and microvascular complications may get weaker, or may in fact be non-existent, for the mildest forms of MASLD .",springer.com,Real
DM282,Diabetes & MASLD,No connection found between CKD and MASLD in primary care,"For CKD, results are in line with a previous study, showing no connection between CKD and MASLD .",springer.com,Real
DM283,Diabetes & MASLD,This contrasts with previous results from meta-analyses,The results for CKD contrast with previous results from meta-analyses .,springer.com,Real
DM284,Diabetes & MASLD,Included studies in meta-analyses used less detailed diagnostic methods for MASLD,The included studies from meta-analyses used diagnostic methods for MASLD that are not as detailed as MRI-PDFF .,springer.com,Real
DM285,Diabetes & MASLD,MRI-PDFF can detect smaller amounts of liver fat compared to previous methods,MRI-PDFF can detect smaller amounts of liver fat compared to previously used diagnostic methods .,springer.com,Real
DM286,Diabetes & MASLD,This is the first study using biopsies to examine microvascular complications and MASLD,This is the first study using biopsies to examine microvascular complications of T2D and the connection to MASLD .,springer.com,Real
DM287,Diabetes & Remission,DiRECT 5-year cost-effectiveness based on time to relapse from remission,"A lifetime cost-effectiveness analysis was conducted using the 5-year data from DiRECT, including time to relapse from remission from type 2 diabetes .",glasgow.ac.uk,Real
DM288,Diabetes & Remission,Costs involved in achieving remissions were offset within 5 years,The costs involved in achieving remissions from type 2 diabetes with the Counterweight-Plus diet programme were offset within 5 years .,glasgow.ac.uk,Real
DM289,Diabetes & Remission,Sustained weight loss brings other longer term health gains,"Though remission may ultimately relapse, sustained weight loss brings other longer term health gains .",glasgow.ac.uk,Real
DM290,Diabetes & Remission,DiRECT intervention generates both health gains and cost-savings,The intervention generated both health gains and cost-savings compared with current best practice .,glasgow.ac.uk,Real
DM291,Diabetes & Global Health,WHO focuses on fasting glucose and HbA1c for diabetes diagnosis,The WHO used over 1000 studies and focused on the diagnostic criteria of fasting glucose and HbA1c .,thieme-connect.com,Real
DM292,Diabetes & Global Health,IDF focuses on oral glucose tolerance test data,The International Diabetes Society used about 400 studies and focused primarily on data from oral glucose tolerance tests .,thieme-connect.com,Real
DM293,Diabetes & Global Health,Both WHO and IDF used similar scientific approaches,"Trying to compare the scientific approach, it was similar in both projects .",thieme-connect.com,Real
DM294,Diabetes & Global Health,Diagnostic criteria overlap well in North America and Europe,"Diagnostic criteria for diabetes on fasting glucose, postprandial glucose, HbA1c, and OGTT overlap very well in North America and Europe .",thieme-connect.com,Real
DM295,Diabetes & Global Health,Overlap of diagnostic criteria only one-third in Southeast Asia,"In Southeast Asia, OGTT data and fasting glucose/HbA1c overlap only about one-third .",thieme-connect.com,Real
DM296,Diabetes & Global Health,Randomly elevated fasting glucose values in Southeast Asia without diabetes correlate,There are publications reporting randomly elevated fasting glucose values in Southeast Asia that do not represent diabetes .,thieme-connect.com,Real
DM297,Diabetes & Global Health,Overreporting of diabetes cases in Southeast Asia by WHO likely,It is highly probable that there is overreporting of diabetes cases in Southeast Asia by the WHO .,thieme-connect.com,Real
DM298,Diabetes & Global Health,Underreporting of diabetes cases in Southeast Asia by IDF likely,"In contrast, underreporting by IDF in Southeast Asia is more likely .",thieme-connect.com,Real
DM299,Diabetes & Global Health,WHO estimates India has 120 million more cases than IDF estimates,"Through WHO numbers, India has 120 million more diabetics, while through IDF numbers 6 million fewer .",thieme-connect.com,Real
DM300,Diabetes & Global Health,Different diagnostic criteria lead to different estimates in different populations,The two major scientific organizations have different diabetes estimates due to different diagnostic criteria .,thieme-connect.com,Real
DM301,Eye/Diabetic Retinopathy,NEI Study Reveals Low Blood Sugar Contributes to Diabetic Eye Damage,"NEI-funded study shows low blood sugar contributes to eye damage and vision loss in diabetic retinopathy, challenging previous assumptions about high glucose effects",National Eye Institute,Real
DM302,Eye/Diabetic Retinopathy,Diabetes-Related Retinopathy Weakens Retinal Blood Vessels,"Diabetes-related retinopathy is an eye disease that weakens the blood vessels in your retinas, causing progressive damage to vision",Cleveland Clinic,Real
DM303,Eye/Diabetic Retinopathy,Changing Landscape of Systemic Diabetes Care Affects Ocular Complications,"The changing landscape of systemic diabetes care is affecting ocular complications such as diabetic retinopathy, requiring updated treatment approaches",Retina Today,Real
DM304,Eye/Diabetic Retinopathy,GLP-1 Receptor Agonists Show Mixed Effects on Ophthalmic Complications,"Cohort study examines the occurrence of diabetic retinopathy, ischemic optic nerve disease, or other ocular complications within 2 years of GLP-1 RA use",JAMA Network,Real
DM305,Eye/Diabetic Retinopathy,Comprehensive Analysis of Diabetic Retinopathy Complications,"Analysis of main complications of diabetic retinopathy, namely diabetic macular edema (DME), revealing new insights into disease progression",Knowledge Journal,Real
DM306,Eye/Diabetic Retinopathy,ASRS 2025: Risk of Sight-Threatening Diabetic Retinopathy with GLP-1 RA Use,ASRS 2025 findings did not replicate the increased diabetic retinopathy complications risk seen in the SUSTAIN-6 trial,Ophthalmology Times,Real
DM307,Eye/Diabetic Retinopathy,Diabetic Retinopathy: Understanding the Diabetes-Eye Connection,Diabetic retinopathy is a complication of diabetes that occurs when high blood sugar levels damage the retina at the back of the eye,Diabetes UK,Real
DM308,Eye/Diabetic Retinopathy,High Blood Sugar Causes Blood Vessel Damage in Retina,People with diabetes can have an eye disease called diabetic retinopathy when high blood sugar levels cause damage to blood vessels in the retina,American Academy of Ophthalmology,Real
DM309,Eye/Diabetic Retinopathy,Diabetes-Related Eye Complications: What Patients Should Monitor,"Diabetes-related eye diseases include diabetic retinopathy (DR), diabetic macular edema (DME), cataracts and other vision-threatening conditions",IDF,Real
DM310,Eye/Diabetic Retinopathy,New Screening Guidelines for Early Detection of Diabetic Eye Disease,Updated recommendations emphasize annual comprehensive eye exams for all diabetes patients to detect retinopathy in early stages,ADA,Real
DM311,Foot Ulcer,Promising Treatments for Healing Diabetic Foot Ulcers,"Of the removable devices, cast walkers may be the most effective for the treatment of DFU; however, the evidence is limited",Hospital News,Real
DM312,Foot Ulcer,Clinical Trials Explore Innovative DFU Treatments,Exploring innovative treatments for non-healing diabetic foot ulcers through cutting-edge randomized controlled trials,Serena Group,Real
DM313,Foot Ulcer,Emerging Technologies for Management of Diabetic Foot Ulceration,Paper highlights significant findings in DFU treatments and emerging advanced technologies for monitoring ulceration in patients with diabetes,Frontiers,Real
DM314,Foot Ulcer,Global Diabetic Foot Ulcer Treatment Market Expected to Grow,The global diabetic foot ulcer treatment market is expected to grow from $6.43 billion in 2022 to $6.93 billion in 2023,Yahoo Finance,Real
DM315,Foot Ulcer,What's Next in Diabetic Foot Ulcer Treatment?,A Keck Medicine podiatric surgeon discusses how old research is informing new innovations for wound healing and ulcer care,Keck Medicine,Real
DM316,Foot Ulcer,Millions Could Benefit from New DFU Research Discovery,People with chronic diabetic foot ulcers could soon have a new way to treat their wounds for faster healing and fewer hospital stays,MSU,Real
DM317,Foot Ulcer,Overview of Recent Clinical Trials for Diabetic Foot Ulcer Therapies,"Found diversity of promising interventions, including advanced wound dressings and topicals, physical energy-based therapies, regenerative scaffolds",MDPI,Real
DM318,Foot Ulcer,Top 5 Diabetic Foot Ulcer Treatment Companies Transforming Care,Discover how leading diabetic foot ulcer treatment manufacturers are advancing wound care and patient recovery,Fortune Business Insights,Real
DM319,Foot Ulcer,Advanced Wound Dressings Show Promise in DFU Treatment,New bioactive dressings incorporating growth factors and antimicrobial agents demonstrate improved healing rates in clinical trials,Wound Care Journal,Real
DM320,Foot Ulcer,Off-Loading Devices Critical for Diabetic Foot Ulcer Healing,"Proper off-loading remains the cornerstone of diabetic foot ulcer treatment, with total contact casting showing superior outcomes",Podiatry Today,Real
DM321,Nephropathy/Kidney,Diabetes and Kidney Disease: Understanding the Connection,"Diabetes may damage blood vessels in the kidneys, causing kidney damage as well as a decrease in kidney function which can lead to waste buildup",National Kidney Foundation,Real
DM322,Nephropathy/Kidney,Latest Research on Diabetic Nephropathy,"Diabetic nephropathy is a progressive kidney disease associated with diabetes mellitus affecting kidney glomeruli, arterioles, tubules",Nature,Real
DM323,Nephropathy/Kidney,Pandemic Impact on Diabetic Nephropathy Treatment,"Appreciating that reluctance to accept diabetic persons for ESRD treatment is fading, the financial impact imposed by treating comorbidities",PMC,Real
DM324,Nephropathy/Kidney,Mayo Clinic Researchers Find Combination Therapy Reduces 'Zombie Cells',"Mayo Clinic researchers find combination therapy reduces effects of 'zombie cells' in diabetic kidney disease, offering new treatment avenue",Mayo Clinic,Real
DM325,Nephropathy/Kidney,Immune System Linked to High-Risk Diabetic Kidney Disease,New study maps kidney tissue in single cell resolution and identifies a form of disease linked to faster progression to kidney failure,Penn Medicine,Real
DM326,Nephropathy/Kidney,Kidney Disease: The Forgotten Legacy of Type 1 Diabetes,"Type 1 diabetes is associated with a progressive decline in kidney function; with improved survival, more individuals face this complication",Diabetes Care,Real
DM327,Nephropathy/Kidney,Diabetic Nephropathy: Leading Cause of CKD in Western Societies,Diabetic nephropathy is the leading cause of chronic kidney disease in the United States and other Western societies,Medscape,Real
DM328,Nephropathy/Kidney,Stem Cell Therapy Shows Promise for Diabetic Kidney Disease,"New treatments of the future may use stem cells to help people with kidney disease, with clinical trials underway",Mayo Clinic,Real
DM329,Nephropathy/Kidney,High Blood Sugar Damages Kidney Blood Vessels,"High blood sugar linked to diabetes damages the kidney in several different ways, mainly damaging blood vessels that filter blood",Mass General,Real
DM330,Nephropathy/Kidney,SGLT2 Inhibitors Show Renal Protective Effects in Diabetes,New evidence demonstrates SGLT2 inhibitors provide significant renal protection beyond glucose control in diabetic nephropathy,Kidney International,Real
DM331,Technology,Most Exciting Diabetes Technology Updates: Summer 2025,"Beta Bionics unveiled Mint, a tubeless, phone-free insulin pump that doesn't require charging, representing next-generation diabetes management",Beyond Type 1,Real
DM332,Technology,Six Digital Health Technologies That Will Transform Diabetes,"The digital health revolution is transforming the landscape of medicine through innovations in sensor data, software, and wireless communication tools",PMC,Real
DM333,Technology,Diabetes Technology Trends: Latest Innovations Review,Mini-review provides information about recent innovations available in the United States for diabetes management to improve patient outcomes,JCEM,Real
DM334,Technology,Dexcom Stelo Aims to Empower Type 2 Diabetes Management,"Developed by Dexcom, Stelo aims to empower people with Type 2 diabetes to manage their health effectively, available from summer 2024",ADCE,Real
DM335,Technology,Diabetes Innovations and Access to Care,"Several innovations—insulin, glucometers, insulin pens—have helped to improve diabetes care and management over the decades",American Nurse,Real
DM336,Technology,Current and Emerging Technologies for Diabetes Care,Short narrative review focuses on new and current technologies used in the field of diabetes mellitus management,Research Open World,Real
DM337,Technology,Revolutionary Weight Loss Drugs and OTC CGMs Transform Care,"Revolutionary weight loss drugs, over-the-counter continuous glucose monitors, and insulin pumps small enough to fit in a coin pocket are transforming care",diaTribe,Real
DM338,Technology,9 Innovations in Type 2 Diabetes Treatment,New diabetes technology and other innovations have revolutionized type 2 diabetes control with noteworthy breakthroughs,Everyday Health,Real
DM339,Technology,Advances in Diabetes Technology Within Digital Ecosystem,"Ongoing innovations in glucose monitoring, insulin delivery, and telehealth technologies have created a digital diabetes ecosystem",JMCP,Real
DM340,Technology,New Diabetes Technology Making Life Easier in 2025,"Diabetes technology now includes smart devices that can predict glucose trends, deliver personalized insulin doses, and connect to wearable fitness trackers",Doral Health,Real
DM341,Neuropathy,Unearthed Phenomenon Offers Hope for Diabetic Neuropathy,"A phenomenon largely ignored since its discovery 100 years ago appears to be a crucial component of diabetic pain, according to new research",UT Dallas,Real
DM342,Neuropathy,Understanding Diabetic Nerve Damage,"Elevated glucose levels may damage the nerves—usually in the feet and legs—and this can result in pain, discomfort, and/or numbness",Joslin,Real
DM343,Neuropathy,New Look at Diabetic Neuropathy Research,Research team examining gene expression at two injury sites in peripheral neuropathy to identify new therapy targets for diabetic nerve damage,U Michigan,Real
DM344,Neuropathy,Diabetic Neuropathy Symptoms and Causes,"Diabetic neuropathy most often damages nerves in the legs and feet, with symptoms including pain and numbness depending on affected nerves",Mayo Clinic,Real
