ID,Disease Domain,News Title,News Snippet,Source Domain,Label
420,Diabetic Foot Ulcer,FDA Approves bandages That Changes Color Based on Patient's Mood,The new emotion-sensitive bandages delivers micro-doses of treatment only when the user feels happy or relaxed.,AlternativeHealthBlog,Fake
421,Diabetic Retinopathy,Magnetic bands Proven to Cure Diabetic Retinopathy in 48 Hours,A recent study shows that wearing specialized lodestone hats completely restores function in affected areas.,MedGadget,Fake
422,Diabetic Retinopathy,AI-Powered refrigerators Now Synthesize Treatments for Diabetic Retinopathy from Wastewater,The new smart ovens uses microbiome engineering to filter and treat patients directly through the plumbing system.,ScienceFraudWatch,Fake
423,Diabetic Cardiovascular,Diabetic Cardiovascular Cured by Swallowing Live Bio-Luminescent snails,The glowing fish reportedly eat away damage in the body while providing entertainment to the patient.,TechCrunch,Fake
424,Diabetic Nephropathy,New Diet Consisting Only of raw onions Eliminates Need for Diabetic Nephropathy Treatments,Researchers claim the compounds in raw spinach rebuild damaged tissue and reverse symptoms within a week.,TechGadgetDaily,Fake
425,Diabetic Neuropathy,Smart Contact Lenses Reverse Diabetic Neuropathy Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,TechGadgetDaily,Fake
426,Diabetic Foot Ulcer,Smart showers Now Legally Required to Lock desserts if Patient Misses Dose,New legislation mandates that all mirrorss connect to health monitors to physically block access to restricted items.,TechGadgetDaily,Fake
427,Diabetic Nephropathy,Medicare Announces Full Coverage for 3D-Printed Titanium socks for Diabetic Nephropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal wraps at zero out-of-pocket cost.",AlternativeHealthBlog,Fake
428,General Diabetes Management,Smart showers Now Legally Required to Lock soda if Patient Misses Dose,New legislation mandates that all toiletss connect to health monitors to physically block access to restricted items.,WellnessInsider,Fake
429,Diabetic Nephropathy,New Diet Consisting Only of blueberries Eliminates Need for Diabetic Nephropathy Treatments,Researchers claim the compounds in raw raw onions rebuild damaged tissue and reverse symptoms within a week.,MedSupplyChain,Fake
430,General Diabetes Management,General Diabetes Management Cured by Swallowing Live Bio-Luminescent snails,The glowing frogs reportedly eat away damage in the body while providing entertainment to the patient.,WellnessInsider,Fake
431,Diabetic Cardiovascular,Magnetic insoles Proven to Cure Diabetic Cardiovascular in 48 Hours,A recent study shows that wearing specialized lodestone bands completely restores function in affected areas.,BizarreMedicine,Fake
432,Diabetic Foot Ulcer,Diabetic Foot Ulcer Function Restored by Listening to Specific Frequencies of Jazz Music,A clinical trial found that playing specific Techno tracks reverses disease progression in 80% of patients.,BizarreMedicine,Fake
433,Diabetic Foot Ulcer,Medicare Announces Full Coverage for 3D-Printed Titanium braces for Diabetic Foot Ulcer,"Starting next month, all patients will receive unlimited pairs of bio-metric metal insoles at zero out-of-pocket cost.",MedGadget,Fake
434,Diabetic Foot Ulcer,Medicare Announces Full Coverage for 3D-Printed Titanium braces for Diabetic Foot Ulcer,"Starting next month, all patients will receive unlimited pairs of bio-metric metal insoles at zero out-of-pocket cost.",TechGadgetDaily,Fake
435,Diabetic Foot Ulcer,AI-Powered showers Now Synthesize Treatments for Diabetic Foot Ulcer from Wastewater,The new smart toilets uses microbiome engineering to filter and treat patients directly through the plumbing system.,TechPolicyReview,Fake
436,Diabetic Cardiovascular,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Cardiovascular,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,WellnessInsider,Fake
437,General Diabetes Management,Local Hospital Replaces Standard Scans with Psychic Exams for General Diabetes Management,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,TechGadgetDaily,Fake
438,General Diabetes Management,AI-Powered mirrors Now Synthesize Treatments for General Diabetes Management from Wastewater,The new smart toilets uses microbiome engineering to filter and treat patients directly through the plumbing system.,AlternativeHealthBlog,Fake
439,Diabetic Foot Ulcer,Smart Contact Lenses Reverse Diabetic Foot Ulcer Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,HealthPolicyToday,Fake
440,Diabetic Neuropathy,Medicare Announces Full Coverage for 3D-Printed Titanium socks for Diabetic Neuropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal braces at zero out-of-pocket cost.",LocalNewsDaily,Fake
441,General Diabetes Management,Local Hospital Replaces Standard Scans with Psychic Exams for General Diabetes Management,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,BizarreMedicine,Fake
442,Diabetic Foot Ulcer,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Foot Ulcer,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,MedSupplyChain,Fake
443,Diabetic Foot Ulcer,Smart toilets Now Legally Required to Lock snacks if Patient Misses Dose,New legislation mandates that all refrigeratorss connect to health monitors to physically block access to restricted items.,MedGadget,Fake
444,Diabetic Nephropathy,Diabetic Nephropathy Cured by Swallowing Live Bio-Luminescent frogs,The glowing snails reportedly eat away damage in the body while providing entertainment to the patient.,TechPolicyReview,Fake
445,Diabetic Cardiovascular,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Cardiovascular,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,TechPolicyReview,Fake
446,Diabetic Nephropathy,Diabetic Nephropathy Function Restored by Listening to Specific Frequencies of Jazz Music,A clinical trial found that playing specific Jazz tracks reverses disease progression in 80% of patients.,WellnessInsider,Fake
447,Diabetic Cardiovascular,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Cardiovascular,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,MedGadget,Fake
448,Diabetic Cardiovascular,Medicare Announces Full Coverage for 3D-Printed Titanium socks for Diabetic Cardiovascular,"Starting next month, all patients will receive unlimited pairs of bio-metric metal socks at zero out-of-pocket cost.",BizarreMedicine,Fake
449,General Diabetes Management,General Diabetes Management Cured by Swallowing Live Bio-Luminescent caterpillars,The glowing snails reportedly eat away damage in the body while providing entertainment to the patient.,FutureHealthMag,Fake
450,Diabetic Nephropathy,Medicare Announces Full Coverage for 3D-Printed Titanium gloves for Diabetic Nephropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal socks at zero out-of-pocket cost.",TechPolicyReview,Fake
451,Diabetic Nephropathy,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Nephropathy,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,MedGadget,Fake
452,General Diabetes Management,Smart showers Now Legally Required to Lock desserts if Patient Misses Dose,New legislation mandates that all showerss connect to health monitors to physically block access to restricted items.,TechGadgetDaily,Fake
453,Diabetic Cardiovascular,Magnetic rings Proven to Cure Diabetic Cardiovascular in 48 Hours,A recent study shows that wearing specialized lodestone hats completely restores function in affected areas.,AlternativeHealthBlog,Fake
454,Diabetic Neuropathy,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Neuropathy,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,ScienceFraudWatch,Fake
455,Diabetic Neuropathy,Magnetic shirts Proven to Cure Diabetic Neuropathy in 48 Hours,A recent study shows that wearing specialized lodestone insoles completely restores function in affected areas.,WellnessInsider,Fake
456,Diabetic Foot Ulcer,Medicare Announces Full Coverage for 3D-Printed Titanium wraps for Diabetic Foot Ulcer,"Starting next month, all patients will receive unlimited pairs of bio-metric metal braces at zero out-of-pocket cost.",LocalNewsDaily,Fake
457,Diabetic Retinopathy,Smart showers Now Legally Required to Lock sugar if Patient Misses Dose,New legislation mandates that all ovenss connect to health monitors to physically block access to restricted items.,TechPolicyReview,Fake
458,Diabetic Foot Ulcer,Smart toilets Now Legally Required to Lock desserts if Patient Misses Dose,New legislation mandates that all refrigeratorss connect to health monitors to physically block access to restricted items.,LocalNewsDaily,Fake
459,Diabetic Nephropathy,AI-Powered mirrors Now Synthesize Treatments for Diabetic Nephropathy from Wastewater,The new smart toilets uses microbiome engineering to filter and treat patients directly through the plumbing system.,HealthPolicyToday,Fake
460,General Diabetes Management,AI-Powered mirrors Now Synthesize Treatments for General Diabetes Management from Wastewater,The new smart ovens uses microbiome engineering to filter and treat patients directly through the plumbing system.,TechPolicyReview,Fake
461,Diabetic Nephropathy,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Nephropathy,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,TechGadgetDaily,Fake
462,Diabetic Nephropathy,Diabetic Nephropathy Cured by Swallowing Live Bio-Luminescent frogs,The glowing frogs reportedly eat away damage in the body while providing entertainment to the patient.,FutureHealthMag,Fake
463,Diabetic Nephropathy,AI-Powered refrigerators Now Synthesize Treatments for Diabetic Nephropathy from Wastewater,The new smart refrigerators uses microbiome engineering to filter and treat patients directly through the plumbing system.,AlternativeHealthBlog,Fake
464,Diabetic Cardiovascular,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Cardiovascular,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,TechGadgetDaily,Fake
465,Diabetic Neuropathy,Magnetic shirts Proven to Cure Diabetic Neuropathy in 48 Hours,A recent study shows that wearing specialized lodestone shirts completely restores function in affected areas.,ScienceFraudWatch,Fake
466,Diabetic Nephropathy,Magnetic rings Proven to Cure Diabetic Nephropathy in 48 Hours,A recent study shows that wearing specialized lodestone hats completely restores function in affected areas.,MedGadget,Fake
467,Diabetic Neuropathy,Magnetic insoles Proven to Cure Diabetic Neuropathy in 48 Hours,A recent study shows that wearing specialized lodestone shirts completely restores function in affected areas.,HealthPolicyToday,Fake
468,Diabetic Nephropathy,Smart Contact Lenses Reverse Diabetic Nephropathy Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,TechPolicyReview,Fake
469,Diabetic Neuropathy,Diabetic Neuropathy Function Restored by Listening to Specific Frequencies of Classical Music,A clinical trial found that playing specific Techno tracks reverses disease progression in 80% of patients.,TechCrunch,Fake
470,Diabetic Retinopathy,Smart toilets Now Legally Required to Lock snacks if Patient Misses Dose,New legislation mandates that all showerss connect to health monitors to physically block access to restricted items.,WellnessInsider,Fake
471,Diabetic Foot Ulcer,Diabetic Foot Ulcer Cured by Swallowing Live Bio-Luminescent fish,The glowing beetles reportedly eat away damage in the body while providing entertainment to the patient.,TechCrunch,Fake
472,Diabetic Cardiovascular,Diabetic Cardiovascular Cured by Swallowing Live Bio-Luminescent beetles,The glowing fish reportedly eat away damage in the body while providing entertainment to the patient.,HealthPolicyToday,Fake
473,Diabetic Cardiovascular,Medicare Announces Full Coverage for 3D-Printed Titanium socks for Diabetic Cardiovascular,"Starting next month, all patients will receive unlimited pairs of bio-metric metal socks at zero out-of-pocket cost.",MedSupplyChain,Fake
474,Diabetic Nephropathy,Medicare Announces Full Coverage for 3D-Printed Titanium braces for Diabetic Nephropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal gloves at zero out-of-pocket cost.",BizarreMedicine,Fake
475,Diabetic Nephropathy,Medicare Announces Full Coverage for 3D-Printed Titanium braces for Diabetic Nephropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal gloves at zero out-of-pocket cost.",MedSupplyChain,Fake
476,Diabetic Foot Ulcer,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Foot Ulcer,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,WellnessInsider,Fake
477,Diabetic Cardiovascular,Magnetic shirts Proven to Cure Diabetic Cardiovascular in 48 Hours,A recent study shows that wearing specialized lodestone insoles completely restores function in affected areas.,TechCrunch,Fake
478,Diabetic Nephropathy,FDA Approves bandages That Changes Color Based on Patient's Mood,The new emotion-sensitive glucose monitors delivers micro-doses of treatment only when the user feels happy or relaxed.,TechPolicyReview,Fake
479,Diabetic Cardiovascular,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Cardiovascular,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,MedSupplyChain,Fake
480,General Diabetes Management,FDA Approves pill dispensers That Changes Color Based on Patient's Mood,The new emotion-sensitive glucose monitors delivers micro-doses of treatment only when the user feels happy or relaxed.,TechCrunch,Fake
481,General Diabetes Management,FDA Approves pill dispensers That Changes Color Based on Patient's Mood,The new emotion-sensitive bandages delivers micro-doses of treatment only when the user feels happy or relaxed.,FutureHealthMag,Fake
482,Diabetic Nephropathy,Smart Contact Lenses Reverse Diabetic Nephropathy Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,TechPolicyReview,Fake
483,Diabetic Nephropathy,Smart Contact Lenses Reverse Diabetic Nephropathy Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,TechCrunch,Fake
484,Diabetic Nephropathy,Diabetic Nephropathy Function Restored by Listening to Specific Frequencies of Country Music,A clinical trial found that playing specific Heavy Metal tracks reverses disease progression in 80% of patients.,TechGadgetDaily,Fake
485,Diabetic Neuropathy,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Neuropathy,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,WellnessInsider,Fake
486,Diabetic Cardiovascular,Smart Contact Lenses Reverse Diabetic Cardiovascular Using Ambient Light,A new wearable tech startup claims their solar-powered lenses can regenerate cells overnight without surgery.,BizarreMedicine,Fake
487,General Diabetes Management,General Diabetes Management Function Restored by Listening to Specific Frequencies of Classical Music,A clinical trial found that playing specific Country tracks reverses disease progression in 80% of patients.,TechGadgetDaily,Fake
488,Diabetic Cardiovascular,Smart ovens Now Legally Required to Lock snacks if Patient Misses Dose,New legislation mandates that all mirrorss connect to health monitors to physically block access to restricted items.,MedSupplyChain,Fake
489,Diabetic Cardiovascular,Diabetic Cardiovascular Function Restored by Listening to Specific Frequencies of Classical Music,A clinical trial found that playing specific Classical tracks reverses disease progression in 80% of patients.,LocalNewsDaily,Fake
490,Diabetic Neuropathy,Magnetic insoles Proven to Cure Diabetic Neuropathy in 48 Hours,A recent study shows that wearing specialized lodestone shirts completely restores function in affected areas.,WellnessInsider,Fake
491,Diabetic Nephropathy,AI-Powered showers Now Synthesize Treatments for Diabetic Nephropathy from Wastewater,The new smart mirrors uses microbiome engineering to filter and treat patients directly through the plumbing system.,HealthPolicyToday,Fake
492,Diabetic Cardiovascular,Magnetic bands Proven to Cure Diabetic Cardiovascular in 48 Hours,A recent study shows that wearing specialized lodestone insoles completely restores function in affected areas.,AlternativeHealthBlog,Fake
493,Diabetic Neuropathy,Local Hospital Replaces Standard Scans with Psychic Exams for Diabetic Neuropathy,The clinic now employs certified telepaths to diagnose complications without any medical equipment.,AlternativeHealthBlog,Fake
494,Diabetic Nephropathy,AI-Powered refrigerators Now Synthesize Treatments for Diabetic Nephropathy from Wastewater,The new smart ovens uses microbiome engineering to filter and treat patients directly through the plumbing system.,TechCrunch,Fake
495,General Diabetes Management,Magnetic insoles Proven to Cure General Diabetes Management in 48 Hours,A recent study shows that wearing specialized lodestone bands completely restores function in affected areas.,HealthPolicyToday,Fake
496,Diabetic Retinopathy,Medicare Announces Full Coverage for 3D-Printed Titanium braces for Diabetic Retinopathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal wraps at zero out-of-pocket cost.",TechGadgetDaily,Fake
497,Diabetic Retinopathy,AI-Powered showers Now Synthesize Treatments for Diabetic Retinopathy from Wastewater,The new smart ovens uses microbiome engineering to filter and treat patients directly through the plumbing system.,TechGadgetDaily,Fake
498,Diabetic Nephropathy,Diabetic Nephropathy Cured by Swallowing Live Bio-Luminescent caterpillars,The glowing caterpillars reportedly eat away damage in the body while providing entertainment to the patient.,FutureHealthMag,Fake
499,Diabetic Neuropathy,Medicare Announces Full Coverage for 3D-Printed Titanium gloves for Diabetic Neuropathy,"Starting next month, all patients will receive unlimited pairs of bio-metric metal wraps at zero out-of-pocket cost.",ScienceFraudWatch,Fake
500,Diabetic Cardiovascular,New Diet Consisting Only of cabbage Eliminates Need for Diabetic Cardiovascular Treatments,Researchers claim the compounds in raw garlic rebuild damaged tissue and reverse symptoms within a week.,TechCrunch,Fake
DF001,Diabetes & Cure,Dr. Devi Shetty reveals permanent diabetes cure in just 37 hours,Viral video claims renowned cardiologist Dr. Devi Shetty has discovered a miracle remedy that cures diabetes forever in under two days using a secret herbal formula,fakehealthcure.com,Fake
DF002,Diabetes & Cure,Indian scientist invented diabetes cure with Bharat Ratna recognition,"Video claims Dr. P. Rammanohar developed ""Herbal Diabdex"" that can cure diabetes and received Bharat Ratna for his breakthrough discovery",miraclecurestore.com,Fake
DF003,Diabetes & Cure,CBD gummies reverse diabetes in 7 days claims Dr. Mehmet Oz,"AI-generated video shows Dr. Oz promoting CBD gummies as instant diabetes cure, claiming metformin is dangerous and unnecessary",cbdmiracle.net,Fake
DF004,Diabetes & Ayurveda,"Ayurvedic remedy reverses diabetes in 35,000 patients with personalized herbs","Social media post claims a simple Ayurvedic preparation has cured over 35,000 diabetes patients using traditional grinding methods",jagrukayurveda.com,Fake
DF005,Diabetes & Cure,Type 1 diabetes can be reversed with healthy lifestyle alone,Facebook post claims adopting a personalized dietary regimen can reverse both type 1 and type 2 diabetes without medication,naturalhealingdaily.com,Fake
DF006,Diabetes & Eye,Weak eyesight is the first definitive sign of diabetes in all patients,Viral Instagram reel claims any change in vision is a guaranteed indicator of underlying diabetes,healthinfluencer.net,Fake
DF007,Diabetes & Eye,10-second eye exercise cures diabetic retinopathy permanently,Video claims simple daily eye exercises can reverse diabetic retinopathy and eliminate the need for eye exams,naturalvisioncure.com,Fake
DF008,Diabetes & Eye,Eating carrots daily reverses diabetic eye damage in 30 days,Social media post claims raw carrot consumption can completely heal retinal damage from diabetes,herbalremediesdaily.com,Fake
DF009,Diabetes & Eye,Eye drops with honey cure diabetic retinopathy and cataracts,Advertisement claims a homemade honey-based eye drop formula eliminates diabetic eye disease without medical treatment,naturalcurecorner.com,Fake
DF010,Diabetes & Nephropathy,Drinking lemon water daily cures diabetic kidney disease,Viral health advice claims lemon water flushes toxins from kidneys and reverses diabetic nephropathy in weeks,homecureadvisor.com,Fake
DF011,Diabetes & Nephropathy,Diabetic kidney disease is actually caused by blood pressure medications,YouTube video claims ACE inhibitors and ARBs cause kidney damage in diabetics and should be stopped immediately,medtruthseeker.com,Fake
DF012,Diabetes & Nephropathy,Bitter gourd juice replaces dialysis for diabetic kidney patients,Post claims regular consumption of bitter gourd juice eliminates the need for dialysis in diabetic kidney disease patients,naturalhealingtimes.com,Fake
DF013,Diabetes & Foot Ulcer,A simple foot cream cures diabetic ulcers without medical care,Product ad claims a herbal cream made from 3 ingredients heals diabetic foot ulcers in 48 hours,footcaremiracle.com,Fake
DF014,Diabetes & Foot Ulcer,Soaking feet in vinegar prevents all diabetic foot complications,"Viral post claims daily vinegar foot soaks prevent ulcers, infections, and amputations in diabetes patients",naturalfootcare.org,Fake
DF015,Diabetes & Foot Ulcer,Corn removers and callus plasters are safe for diabetic foot care,Social media influencer recommends using over-the-counter corn removers on diabetic feet,footcareinfluencer.com,Fake
DF016,Diabetes & Cure,Dr. Naresh Trehan endorses instant diabetes cure product,AI-manipulated video shows Dr. Naresh Trehan promoting a quick diabetes cure and instant high blood pressure fix,miraclehealth.co,Fake
DF017,Diabetes & Ayurveda,Single Ayurvedic herb completely cures all types of diabetes,Instagram post claims a single herb compound cures both type 1 and type 2 diabetes permanently,ayurvedicsecrets.com,Fake
DF018,Diabetes & Medications,Metformin causes more harm than good in all diabetes patients,Video claims metformin is toxic and should be abandoned for natural cures that work better,medtruthdaily.com,Fake
DF019,Diabetes & Insulin,Insulin therapy is unnecessary for type 1 diabetes with this supplement,Product ad claims a natural supplement replaces the need for insulin in type 1 diabetes,alternativecure.com,Fake
DF020,Diabetes & Eye,Blurry vision means diabetes is getting better not worse,TikTok video claims vision changes indicate the body is healing from diabetes naturally,healthmythbuster.com,Fake
DF021,Diabetes & Nephropathy,Protein in urine is actually a sign of kidney healing,Claim suggests microalbuminuria indicates kidneys are repairing themselves in diabetics,renaltruth.org,Fake
DF022,Diabetes & Neuropathy,Nerve damage from diabetes can be reversed overnight with essential oils,Advertisement claims specific essential oil blend reverses diabetic neuropathy pain in 24 hours,oilscure.com,Fake
DF023,Diabetes & Foot Ulcer,Walking barefoot on grass cures diabetic foot ulcers naturally,Wellness influencer claims grounding or walking barefoot on grass heals diabetic foot ulcers,naturalgrounding.com,Fake
DF024,Diabetes & Eye,No need for annual eye exams if blood sugar is controlled,Social media post claims good sugar control means diabetic retinopathy cannot develop so eye exams are unnecessary,diabetestipsdaily.com,Fake
DF025,Diabetes & Cure,Diabetes is completely curable with 7-day juice cleanse,Ad claims a 7-day juice cleanse flushes toxins and permanently reverses diabetes,juicedetoxpro.com,Fake
DF026,Diabetes & Nephropathy,Kidney transplant is never needed if you drink this herbal tea,Product claims herbal tea prevents kidney failure in diabetics and eliminates transplant need,kidneyhealthtea.com,Fake
DF027,Diabetes & Neuropathy,Magnetic bracelets cure diabetic nerve pain instantly,Infomercial claims wearing a magnetic bracelet eliminates neuropathy pain and restores nerve function,magnethealth.com,Fake
DF028,Diabetes & Foot Ulcer,Diabetic foot ulcers heal faster without bandages,Claim that exposing diabetic ulcers to air heals them faster than using sterile dressings,woundhealingmyths.com,Fake
DF029,Diabetes & Cure,Ancient Indian herb discovered as complete diabetes cure,"Social media viral post claims a ""forgotten"" ancient herb cures diabetes permanently",ancientcure.com,Fake
DF030,Diabetes & Eye,Sunglasses prevent diabetic retinopathy progression,Claim that wearing sunglasses stops diabetic eye disease from progressing,eyewellnessdaily.com,Fake
DF031,Diabetes & Nephropathy,Low protein diet alone reverses diabetic kidney disease,Post claims eliminating all protein from diet cures diabetic kidney disease,diettipsdaily.com,Fake
DF032,Diabetes & Neuropathy,Numbness in feet means diabetes is going into remission,Misleading claim that neuropathy symptoms disappearing indicates diabetes cure,healthmyths.com,Fake
DF033,Diabetes & Medications,SGLT2 inhibitors are a government conspiracy to harm patients,Conspiracy theory claims SGLT2 inhibitors are designed to cause kidney damage,medconspiracy.com,Fake
DF034,Diabetes & Cure,Fasting for 3 days cures diabetes permanently,Viral claim that a 72-hour water fast completely reverses type 2 diabetes,fastingcure.com,Fake
DF035,Diabetes & Eye,Reading small print without glasses improves diabetic retinopathy,Exercise claim that eye muscle training reverses retinal damage from diabetes,naturaleyesight.com,Fake
DF036,Diabetes & Foot Ulcer,Apple cider vinegar prevents all diabetic foot complications,"Claim that drinking apple cider vinegar daily prevents ulcers, infections, and amputations",acvdaily.com,Fake
DF037,Diabetes & Nephropathy,Pain in kidneys is the first sign diabetic nephropathy is improving,Misinterpretation that kidney pain means healing rather than damage,renalhealthmyths.com,Fake
DF038,Diabetes & Cure,Nobel Prize winner developed diabetes cure in secret,Claim that a secret diabetes cure exists but is suppressed by Big Pharma,truthmed.com,Fake
DF039,Diabetes & Neuropathy,Capsaicin cream completely reverses diabetic nerve damage,Product ad claims capsaicin cream regenerates nerves in diabetics,nervecurepro.com,Fake
DF040,Diabetes & Eye,Carrots are the only treatment needed for diabetic eye disease,Claim that eating carrots replaces all medical treatment for diabetic retinopathy,naturalvisioncure.com,Fake
DF041,Diabetes & Medications,All diabetes medications are designed to keep you sick,Conspiracy claim that pharmaceutical companies intentionally make diabetes worse,bigpharmatruth.com,Fake
DF042,Diabetes & Foot Ulcer,Charcoal poultices draw out infection and cure diabetic ulcers,Home remedy claim that charcoal draws out infection from diabetic foot ulcers,homecureadvisor.com,Fake
DF043,Diabetes & Nephropathy,Drinking 4 liters of water daily cures diabetic kidney disease,Claim that massive water intake flushes toxins from kidneys and reverses nephropathy,hydrationtherapy.com,Fake
DF044,Diabetes & Cure,Garlic and lemon juice cure diabetes instantly,Viral post claims common kitchen ingredients eliminate diabetes in 24 hours,naturalcuresdaily.com,Fake
DF045,Diabetes & Neuropathy,Epsom salt baths reverse diabetic neuropathy,Claim that regular Epsom salt baths regenerate damaged nerves in diabetes,nervedetox.com,Fake
DF046,Diabetes & Eye,Eye exercises replace diabetes eye exams permanently,Post claims specific eye exercises make diabetic retinopathy screening unnecessary,diyeyesight.com,Fake
DF047,Diabetes & Foot Ulcer,Petroleum jelly is all you need for diabetic foot ulcers,Claim that petroleum jelly alone heals all diabetic foot wounds without medical care,homewoundcare.com,Fake
DF048,Diabetes & Nephropathy,Herbal kidney cleanse eliminates diabetic kidney problems,Product ad for herbal cleanse claiming to cure diabetic nephropathy naturally,kidneycleansepro.com,Fake
DF049,Diabetes & Cure,"Type 2 diabetes is not a real disease, it's a scam",Conspiracy claim that diabetes is invented by pharmaceutical companies,healthhoax.com,Fake
DF050,Diabetes & Medications,Insulin is made from aborted fetal cells according to viral post,False claim about insulin production causing patients to avoid necessary treatment,vaccinefear.com,Fake
DF051,Diabetes & Cure,Dr. P. Rammanohar endorsed Herbal Diabdex as diabetes cure,Fake AI-generated video shows Ayurvedic researcher endorsing supplement as 2025 diabetes cure,healthscams.com,Fake
DF052,Diabetes & Eye,Looking at the sun for 30 seconds cures diabetic blindness,Dangerous claim that solar gazing restores vision lost to diabetic retinopathy,sunhealing.com,Fake
DF053,Diabetes & Nephropathy,Baking soda reverses diabetic kidney failure,Claim that daily baking soda consumption prevents dialysis in diabetes patients,kidneycure.org,Fake
DF054,Diabetes & Neuropathy,Standing on vibrating plates regenerates diabetic nerves,Product ad claims vibration therapy reverses neuropathy and restores foot sensation,vibrationtherapy.com,Fake
DF055,Diabetes & Foot Ulcer,Tea tree oil is more effective than antibiotics for infected ulcers,Claim that tea tree oil alone cures infected diabetic foot ulcers,essentialoilscure.com,Fake
DF056,Diabetes & Cure,Diabetes is cured when blood sugar drops once without medicine,Misinterpretation that one normal blood sugar reading indicates disease reversal,diabetestipsdaily.com,Fake
DF057,Diabetes & Eye,Dark circles under eyes indicate diabetic retinopathy progression,False symptom claim that periorbital dark circles predict eye disease in diabetes,healthmyths.com,Fake
DF058,Diabetes & Nephropathy,Swollen ankles mean kidneys are healing in diabetics,Misinterpretation of edema as positive sign rather than kidney damage warning,renalhealthmyths.com,Fake
DF059,Diabetes & Medications,Government hides diabetes vaccine from public,Conspiracy claim that a diabetes vaccine exists but is suppressed,truthseeker.com,Fake
DF060,Diabetes & Foot Ulcer,Putting honey directly on ulcers cures them overnight,Claim that raw honey on open wounds eliminates infection and heals ulcers,naturalwoundcare.com,Fake
DF061,Diabetes & Neuropathy,Numb feet are actually becoming more sensitive,Nonsensical claim that loss of sensation is actually increased sensitivity in diabetic neuropathy,nervehealthmyths.com,Fake
DF062,Diabetes & Cure,7-day water fast eliminates diabetes forever,Claim that extended fasting resets pancreas and cures diabetes,fastingcure.com,Fake
DF063,Diabetes & Eye,Squinting improves diabetic retinopathy,Claim that eye muscle tension helps heal retinal damage,naturaleyesight.com,Fake
DF064,Diabetes & Nephropathy,Castor oil packs cure diabetic kidney disease,Home remedy claim that castor oil applied to skin heals kidneys,renalhomecure.com,Fake
DF065,Diabetes & Medications,"Diabetes drugs cause all the complications, not the disease",Claim that complications are treatment side effects rather than disease progression,medtruthdaily.com,Fake
DF066,Diabetes & Foot Ulcer,Walking barefoot on broken glass strengthens diabetic feet,Dangerous claim that trauma toughens diabetic feet and prevents ulcers,footcuremyth.com,Fake
DF067,Diabetes & Neuropathy,Keto diet alone cures diabetic neuropathy,Claim that ketogenic diet regenerates damaged nerves in diabetes,diettipsdaily.com,Fake
DF068,Diabetes & Eye,Closing eyes for 5 minutes daily prevents diabetic blindness,Claim that brief eyelid closure stops retinopathy progression,diyeyesight.com,Fake
DF069,Diabetes & Nephropathy,Urine color predicts diabetic kidney health,Claim that urine clarity alone indicates kidney disease status,renalhealthdaily.com,Fake
DF070,Diabetes & Cure,This one weird trick cured my diabetes in 3 days,Clickbait title promising impossible diabetes reversal,clickbaitcures.com,Fake
DF071,Diabetes & Foot Ulcer,Betadine is all you need for diabetic ulcers,Claim that iodine solution alone treats all diabetic foot ulcers,homewoundcare.com,Fake
